body_part,equipment,name,target,secondary_muscles_full,difficulty,sets,reps
lower body,"sliders, dumbbell",slider single arm dumbbell front rack contralateral reverse lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",beginner,3,12-15
lower body,"cable, bench (flat)",cable prone bench hamstring curl,hamstrings,"biceps femoris, gluteus maximus",beginner,2,12-15
lower body,"bodyweight, bench (flat)",bodyweight bulgarian split squat jump,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",intermediate,3,12-15
lower body,cable,cable standing single leg hamstring curl,hamstrings,"biceps femoris, gluteus maximus",beginner,3,12-15
lower body,bodyweight,bodyweight nordic hamstring curl,hamstrings,"biceps femoris, gluteus maximus",advanced,4,8-10
lower body,superband,superband assisted pistol squat,quadriceps,"quadriceps femoris, gluteus maximus",intermediate,3,12-15
lower body,"sliders, kettlebell ",slider double kettlebell bottoms up front rack reverse lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",intermediate,4,12-15
lower body,dumbbell,double dumbbell front rack squat,quadriceps,"quadriceps femoris, gluteus maximus",beginner,2,10-12
lower body,dumbbell,double dumbbell suitcase walking lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",beginner,2,10-12
lower body,barbell,barbell back rack walking lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",intermediate,4,12-15
lower body,"bodyweight, plyo box",bodyweight box pistol squat,quadriceps,"quadriceps femoris, gluteus maximus",beginner,3,10-12
lower body,barbell,barbell overhead squat,quadriceps,"quadriceps femoris, gluteus maximus",intermediate,3,15-18
lower body,"sliders, kettlebell ",slider double kettlebell bottoms up overhead reverse lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",advanced,4,10-12
lower body,landmine,landmine goblet squat,quadriceps,"quadriceps femoris, gluteus maximus",beginner,2,10-12
lower body,stability ball,stability ball hamstring curl,hamstrings,"biceps femoris, gluteus maximus",beginner,2,12-15
lower body,sliders,slider hamstring curl,hamstrings,"biceps femoris, gluteus maximus",beginner,3,12-15
lower body,bodyweight,bodyweight hamstring walkout ,hamstrings,"biceps femoris, gluteus maximus",beginner,3,10-12
lower body,"sliders, dumbbell",slider dumbbell goblet reverse lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",beginner,3,12-15
lower body,bodyweight,bodyweight dragon squat,quadriceps,"quadriceps femoris, gluteus maximus",advanced,4,10-12
lower body,stability ball,stability ball single leg hamstring curl,hamstrings,"biceps femoris, gluteus maximus",intermediate,3,12-15
lower body,barbell,barbell single leg romanian deadlift,hamstrings,"biceps femoris, gluteus maximus, obliques",intermediate,4,15-18
lower body,dumbbell,double dumbbell suitcase lateral lunge,quadriceps,"quadriceps femoris, gluteus maximus, adductor magnus",beginner,2,10-12
lower body,barbell,barbell zombie walking lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",advanced,5,10-12
lower body,barbell,barbell overhead walking lunge,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",advanced,5,8-10
full body,barbell,barbell squat clean,quadriceps,"quadriceps femoris, gluteus maximus",advanced,5,10-12
full body,landmine,single arm landmine split clean to split jerk,shoulders,"anterior deltoids, triceps brachii",advanced,5,8-10
lower body,landmine,single arm landmine hack squat,quadriceps,"quadriceps femoris, gluteus maximus",intermediate,3,15-18
upper body,indian club,double indian club lateral arm circles,shoulders,lateral deltoids,beginner,2,10-12
upper body,resistance band,resistance band shoulder dislocates,shoulders,"posterior deltoids, supraspinatus, teres minor",beginner,3,12-15
upper body,suspension trainer,suspension reverse grip bicep curl,forearms,"brachioradialis, biceps brachii, brachialis",beginner,3,12-15
upper body,cable,cable straight bar reverse grip bicep curl,forearms,"brachioradialis, biceps brachii, brachialis",beginner,3,12-15
upper body,cable,single arm cable reverse grip bicep curl,forearms,"brachioradialis, biceps brachii, brachialis",beginner,2,10-12
upper body,pull up bar,bar eccentric chin up ,biceps,"biceps brachii, latissimus dorsi",beginner,2,12-15
upper body,pull up bar,bar eccentric pull up,back,latissimus dorsi,beginner,2,12-15
core,landmine,landmine half kneeling oblique twist ,abdominals,obliques,intermediate,3,12-15
upper body,pull up bar,single arm bar dead hang,forearms,"brachioradialis, latissimus dorsi, teres major",beginner,2,10-12
upper body,kettlebell,single arm kettlebell tall kneeling overhead press,shoulders,"anterior deltoids, triceps brachii",beginner,2,10-12
upper body,kettlebell,alternating double kettlebell tall kneeling overhead press,shoulders,"anterior deltoids, triceps brachii",beginner,2,10-12
upper body,kettlebell,alternating double kettlebell half kneeling overhead press,shoulders,"anterior deltoids, triceps brachii",beginner,3,10-12
core,stability ball,stability ball single arm forearm plank,abdominals,rectus abdominis,advanced,5,10-12
core,stability ball,stability ball feet elevated single arm forearm plank,abdominals,rectus abdominis,advanced,5,10-12
lower body,landmine,landmine zercher skater squat,quadriceps,"quadriceps femoris, gluteus maximus",intermediate,3,12-15
full body,landmine,single arm landmine front rack contralateral reverse lunge to shoulder press,quadriceps,"quadriceps femoris, anterior deltoids, gluteus maximus",intermediate,4,12-15
full body,landmine,landmine thruster,quadriceps,"quadriceps femoris, anterior deltoids",beginner,2,12-15
lower body,landmine,landmine romanian deadlift,hamstrings,"biceps femoris, gluteus maximus, erector spinae",beginner,2,12-15
lower body,landmine,single arm landmine single leg romanian deadlift,hamstrings,"biceps femoris, gluteus maximus, obliques",intermediate,4,12-15
core,landmine,landmine tall kneeling oblique twist,abdominals,"obliques, rectus abdominis",intermediate,4,15-18
core,landmine,landmine feet elevated russian twist,abdominals,"obliques, rectus abdominis, iliopsoas",intermediate,3,15-18
full body,landmine,single arm landmine thruster,quadriceps,"quadriceps femoris, anterior deltoids",intermediate,4,15-18
upper body,kettlebell,double kettlebell tall kneeling seesaw overhead press,shoulders,"anterior deltoids, triceps brachii",beginner,2,10-12
upper body,kettlebell,single arm kettlebell arm bar,shoulders,"infraspinatus, subscapularis, obliques",beginner,2,12-15
full body,barbell,barbell power clean to overhead press,shoulders,"anterior deltoids, triceps brachii",advanced,5,10-12
upper body,suspension trainer,single arm suspension mid row,back,latissimus dorsi,beginner,2,12-15
lower body,landmine,landmine zercher curtsy lunge,quadriceps,"quadriceps femoris, gluteus maximus, adductor magnus",intermediate,3,12-15
lower body,barbell,barbell back rack alternating cossack squat,quadriceps,"quadriceps femoris, adductor magnus, gluteus maximus",intermediate,3,12-15
lower body,barbell,barbell front rack alternating cossack squat,quadriceps,"quadriceps femoris, adductor magnus, gluteus maximus",intermediate,3,12-15
lower body,"sliders, kettlebell ",slider double kettlebell overhead lateral lunge,quadriceps,"quadriceps femoris, gluteus maximus, adductor magnus",intermediate,3,12-15
lower body,dumbbell,dumbbell goblet alternating cossack squat,quadriceps,"quadriceps femoris, adductor magnus, gluteus maximus",beginner,2,10-12
lower body,bodyweight,bodyweight alternating cossack squat,quadriceps,"quadriceps femoris, adductor magnus, gluteus maximus",beginner,2,12-15
lower body,bodyweight,bodyweight knee over toe split squat ,quadriceps,"quadriceps femoris, gluteus maximus, soleus",beginner,2,12-15
lower body,barbell,barbell back rack knee over toe split squat,quadriceps,"quadriceps femoris, gluteus maximus, soleus",intermediate,3,15-18
lower body,barbell,barbell front rack knee over toe split squat,quadriceps,"quadriceps femoris, gluteus maximus, soleus",intermediate,4,15-18
lower body,barbell,barbell overhead knee over toe split squat,quadriceps,"quadriceps femoris, gluteus maximus, soleus",advanced,5,10-12
upper body,"ez bar, bench (incline)",ez bar incline bench lying tricep extension,triceps,triceps brachii ,beginner,2,12-15
upper body,"ez bar, bench (flat)",ez bar skull crusher,triceps,"triceps brachii , anconeus, flexor carpi radialis",beginner,2,10-12
core,sliders,slider knee tuck,abdominals,rectus abdominis,beginner,3,10-12
upper body,"ez bar, bench (incline)",ez bar incline bench skull crusher,triceps,"triceps brachii , anconeus, flexor carpi radialis",beginner,3,10-12
upper body,"ez bar, bench (decline)",ez bar decline bench skull crusher,triceps,"triceps brachii , anconeus, flexor carpi radialis",beginner,2,12-15
upper body,ez bar,ez bar front raise,shoulders,"anterior deltoids, pectoralis major, biceps brachii",beginner,2,12-15
core,suspension trainer,suspension pike,abdominals,rectus abdominis,intermediate,3,12-15
core,suspension trainer,suspension side plank reach through,abdominals,"obliques, rectus abdominis",advanced,4,8-10
core,bodyweight,bodyweight cocoon crunch,abdominals,"rectus abdominis, iliopsoas, obliques",intermediate,3,15-18
core,ab wheel,ab wheel standing rollout,abdominals,"rectus abdominis, latissimus dorsi, serratus anterior",advanced,4,10-12
lower body,cable,cable fire hydrant,glutes,"gluteus maximus, gluteus medius, gluteus minimus",beginner,2,10-12
lower body,cable,cable tall kneeling pull through,glutes,gluteus maximus,beginner,2,12-15
lower body,stability ball,stability ball bent knee reverse hyperextension,glutes,gluteus maximus,beginner,3,10-12
lower body,"bodyweight, bench (flat)",bodyweight bent knee reverse hyperextension,glutes,gluteus maximus,beginner,2,10-12
core,parallette bars,parallette tuck l sit,abdominals,rectus abdominis,intermediate,3,15-18
upper body,ez bar,ez bar close grip bicep curl,biceps,"biceps brachii, brachialis, brachioradialis",beginner,3,10-12
upper body,ez bar,ez bar overhead press,shoulders,"anterior deltoids, triceps brachii",beginner,2,12-15
core,parallette bars,parallette single leg l sit,abdominals,rectus abdominis,intermediate,4,12-15
core,stability ball,stability ball bottoms up,abdominals,rectus abdominis,intermediate,4,12-15
core,stability ball,stability ball windshield wiper,abdominals,"obliques, rectus abdominis, transverse abdominis",beginner,3,12-15
core,stability ball,stability ball tall kneeling balance,abdominals,rectus abdominis,intermediate,4,15-18
core,stability ball,stability ball oblique crunch ,abdominals,"obliques, rectus abdominis, iliopsoas",beginner,2,12-15
core,stability ball,stability ball forearm plank,abdominals,rectus abdominis,beginner,3,12-15
lower body,"sliders, kettlebell ",slider double kettlebell suitcase lateral lunge,quadriceps,"quadriceps femoris, gluteus maximus, adductor magnus",beginner,3,12-15
lower body,"sliders, kettlebell ",slider kettlebell horn grip lateral lunge,quadriceps,"quadriceps femoris, gluteus maximus, adductor magnus",beginner,2,10-12
core,dumbbell,single arm dumbbell turkish sit up,abdominals,"rectus abdominis, anterior deltoids, iliopsoas",intermediate,4,12-15
core,landmine,single arm landmine turkish sit up,abdominals,"rectus abdominis, anterior deltoids, iliopsoas",intermediate,3,12-15
lower body,"kettlebell, slant board",double kettlebell front rack cyclist squat,quadriceps,"quadriceps femoris, gluteus maximus, soleus",beginner,2,10-12
core,dumbbell,double dumbbell turkish sit up,abdominals,"rectus abdominis, anterior deltoids, iliopsoas",intermediate,4,15-18
lower body,"kettlebell, slant board",single arm kettlebell front rack cyclist squat,quadriceps,"quadriceps femoris, gluteus maximus, soleus",beginner,3,12-15
lower body,"kettlebell, slant board",single arm kettlebell overhead cyclist squat,quadriceps,"quadriceps femoris, gluteus maximus, soleus",intermediate,3,12-15
lower body,dumbbell,double dumbbell front rack alternating cossack squat,quadriceps,"quadriceps femoris, adductor magnus, gluteus maximus",beginner,3,12-15
lower body,"kettlebell, slant board",kettlebell horn grip cyclist squat,quadriceps,"quadriceps femoris, gluteus maximus, soleus",beginner,2,10-12
lower body,"kettlebell, slant board",kettlebell bottoms up horn grip cyclist squat,quadriceps,"quadriceps femoris, gluteus maximus, soleus",beginner,2,12-15
lower body,"kettlebell, slant board",single arm kettlebell bottoms up front rack cyclist squat,quadriceps,"quadriceps femoris, gluteus maximus, soleus",intermediate,3,15-18
lower body,"kettlebell, slant board",double kettlebell overhead cyclist squat,quadriceps,"quadriceps femoris, gluteus maximus, soleus",intermediate,3,15-18
lower body,"kettlebell, slant board",double kettlebell bottoms up overhead cyclist squat,quadriceps,"quadriceps femoris, gluteus maximus, soleus",advanced,5,8-10
lower body,"kettlebell, slant board",double kettlebell bottoms up front rack cyclist squat,quadriceps,"quadriceps femoris, gluteus maximus, soleus",intermediate,4,15-18
lower body,"kettlebell, slant board",single arm kettlebell bottoms up overhead cyclist squat,quadriceps,"quadriceps femoris, gluteus maximus, soleus",advanced,4,10-12
upper body,"ez bar, bench (flat)",ez bar seated overhead press,shoulders,"anterior deltoids, triceps brachii",beginner,2,10-12
upper body,ez bar,ez bar tall kneeling overhead tricep extension,triceps,"triceps brachii , anterior deltoids, rectus abdominis",beginner,3,12-15
upper body,ez bar,ez bar reverse grip overhead press,shoulders,"anterior deltoids, triceps brachii",beginner,2,10-12
lower body,dumbbell,double dumbbell suitcase knee over toe split squat,quadriceps,"quadriceps femoris, gluteus maximus, soleus",beginner,2,10-12
upper body,"ez bar, bench (flat)",ez bar reverse grip seated overhead press,shoulders,"anterior deltoids, triceps brachii",beginner,2,12-15
upper body,"ez bar, bench (flat)",ez bar close grip bench press,triceps,"triceps brachii, pectoralis major",beginner,3,10-12
upper body,"ez bar, bench (incline)",ez bar close grip incline bench press,triceps,"triceps brachii, pectoralis major",beginner,3,10-12
upper body,"ez bar, bench (decline)",ez bar close grip decline bench press,triceps,"triceps brachii, pectoralis major",beginner,2,12-15
core,cable,cable half kneeling pallof press,abdominals,"obliques, rectus abdominis",beginner,3,10-12
full body,"kettlebell, slant board",single arm kettlebell cyclist thruster,quadriceps,"quadriceps femoris, anterior deltoids",beginner,3,10-12
full body,"kettlebell, slant board",double kettlebell cyclist thruster,quadriceps,"quadriceps femoris, anterior deltoids",beginner,3,10-12
full body,"kettlebell, slant board",alternating double kettlebell cyclist thruster,quadriceps,"quadriceps femoris, anterior deltoids",beginner,2,12-15
full body,"kettlebell, slant board",single arm kettlebell bottoms up cyclist thruster,quadriceps,"quadriceps femoris, anterior deltoids",intermediate,4,12-15
full body,"kettlebell, slant board",double kettlebell bottoms up cyclist thruster,quadriceps,"quadriceps femoris, anterior deltoids",intermediate,3,12-15
full body,"kettlebell, slant board",alternating double kettlebell bottoms up cyclist thruster,quadriceps,"quadriceps femoris, anterior deltoids",intermediate,3,12-15
core,barbell,barbell kneeling rollout,abdominals,"rectus abdominis, latissimus dorsi, serratus anterior",intermediate,4,12-15
upper body,barbell,barbell reverse grip overhead press,shoulders,"anterior deltoids, triceps brachii",beginner,2,12-15
upper body,"barbell, bench (flat)",barbell seated reverse grip overhead press,shoulders,"anterior deltoids, triceps brachii",beginner,2,12-15
core,cable,cable tall kneeling pallof press,abdominals,"obliques, rectus abdominis",beginner,3,12-15
upper body,"tire, sledge hammer",tire sledge hammer staggered stance slam,abdominals,"obliques, rectus abdominis, posterior deltoids",beginner,3,10-12
upper body,"tire, macebell",tire macebell staggered stance slam,abdominals,"obliques, rectus abdominis, posterior deltoids",beginner,2,12-15
full body,barbell,barbell hang power clean,glutes,gluteus maximus,intermediate,4,12-15
lower body,landmine,landmine goblet alternating cossack squat,quadriceps,"quadriceps femoris, adductor magnus, gluteus maximus",intermediate,3,12-15
lower body,landmine,landmine low hold alternating cossack squat,quadriceps,"quadriceps femoris, adductor magnus, gluteus maximus",intermediate,4,12-15
upper body,bodyweight,bodyweight push up,pectorals,"pectoralis major, triceps brachii",beginner,2,10-12
upper body,"barbell, bench (incline)",barbell close grip incline bench press,triceps,"triceps brachii, pectoralis major",beginner,3,10-12
upper body,"barbell, bench (decline)",barbell close grip decline bench press,triceps,"triceps brachii, pectoralis major",beginner,3,10-12
upper body,dumbbell,double dumbbell push press,shoulders,"anterior deltoids, triceps brachii",beginner,2,10-12
upper body,dumbbell,single arm dumbbell push press,shoulders,"anterior deltoids, triceps brachii",beginner,2,10-12
upper body,dumbbell,alternating double dumbbell push press,shoulders,"anterior deltoids, triceps brachii",beginner,2,12-15
upper body,kettlebell,single arm kettlebell bottoms up push jerk,shoulders,"anterior deltoids, triceps brachii, gluteus minimus",beginner,3,10-12
upper body,cable,cable rope tall kneeling overhead tricep extension,triceps,"triceps brachii , anterior deltoids, rectus abdominis",beginner,3,12-15
upper body,kettlebell,alternating double kettlebell push jerk,shoulders,"anterior deltoids, triceps brachii, gluteus minimus",beginner,2,12-15
upper body,dumbbell,double dumbbell push jerk,shoulders,"anterior deltoids, triceps brachii, gluteus minimus",beginner,2,10-12
upper body,kettlebell,alternating double kettlebell overhead press,shoulders,anterior deltoids,beginner,2,10-12
upper body,dumbbell,single arm dumbbell push jerk,shoulders,"anterior deltoids, triceps brachii, gluteus minimus",beginner,2,10-12
upper body,dumbbell,alternating double dumbbell push jerk,shoulders,"anterior deltoids, triceps brachii, gluteus minimus",beginner,2,12-15
upper body,"weight plate, bench (flat)",double plate seated lu raise,shoulders,"infraspinatus, posterior deltoids",beginner,2,12-15
upper body,kettlebell,double kettlebell bottoms up floor press,pectorals,"pectoralis major, triceps brachii, anterior deltoids",beginner,3,10-12
upper body,kettlebell,alternating double kettlebell bottoms up floor press,pectorals,"pectoralis major, triceps brachii, anterior deltoids",beginner,3,10-12
upper body,kettlebell,single arm kettlebell bottoms up floor press,pectorals,"pectoralis major, triceps brachii, anterior deltoids",beginner,3,10-12
upper body,trap bar,trap bar bent over row,back,"latissimus dorsi, rhomboids, posterior deltoids",beginner,3,10-12
upper body,trap bar,trap bar pendlay row,back,latissimus dorsi,beginner,3,12-15
upper body,trap bar,trap bar shrug,trapezius,"upper trapezius, levator scapulae, rhomboids",beginner,2,10-12
core,bodyweight,bodyweight tuck l sit,abdominals,rectus abdominis,advanced,4,10-12
core,parallette bars,parallette straddle l sit,abdominals,rectus abdominis,advanced,5,10-12
core,gymnastic rings,ring turned out l sit,abdominals,rectus abdominis,advanced,4,10-12
upper body,battle ropes,battle rope power slam,abdominals,rectus abdominis,beginner,3,10-12
full body,bodyweight,bodyweight manna ,abdominals,rectus abdominis,advanced,5,10-12
full body,gymnastic rings,ring tuck back lever,abdominals,rectus abdominis,advanced,4,8-10
full body,gymnastic rings,ring advanced tuck back lever,abdominals,rectus abdominis,advanced,4,8-10
full body,gymnastic rings,ring straddle back lever,abdominals,rectus abdominis,advanced,4,10-12
full body,gymnastic rings,ring half lay back lever,abdominals,rectus abdominis,advanced,5,10-12
full body,gymnastic rings,ring single leg out back lever,abdominals,rectus abdominis,advanced,5,10-12
full body,gymnastic rings,ring full back lever,abdominals,rectus abdominis,advanced,4,8-10
upper body,trap bar,trap bar floor press,pectorals,"pectoralis major, triceps brachii, anterior deltoids",beginner,3,12-15
upper body,trap bar,trap bar overhead press,shoulders,"anterior deltoids, triceps brachii",beginner,2,10-12
full body,gymnastic rings,ring handstand lower to back lever,abdominals,rectus abdominis,advanced,4,10-12
full body,gymnastic rings,ring tuck front lever,abdominals,rectus abdominis,advanced,5,10-12
full body,gymnastic rings,ring advanced tuck front lever,abdominals,rectus abdominis,advanced,5,10-12
full body,gymnastic rings,ring straddle front lever,abdominals,rectus abdominis,advanced,5,8-10
full body,gymnastic rings,ring half lay front lever,abdominals,rectus abdominis,advanced,4,8-10
full body,gymnastic rings,ring single leg out front lever,abdominals,rectus abdominis,advanced,4,10-12
full body,gymnastic rings,ring full front lever,abdominals,rectus abdominis,advanced,4,10-12
full body,gymnastic rings,ring front lever pull to inverted hang,abdominals,rectus abdominis,advanced,5,10-12
full body,gymnastic rings,ring inverted hang,abdominals,rectus abdominis,advanced,4,8-10
core,barbell,single arm barbell kneeling rollout,abdominals,"rectus abdominis, latissimus dorsi, serratus anterior",advanced,5,8-10
core,barbell,single arm barbell standing rollout,abdominals,"rectus abdominis, latissimus dorsi, serratus anterior",advanced,5,8-10
full body,gymnastic rings,ring circle front lever,abdominals,rectus abdominis,advanced,5,10-12
upper body,trap bar,trap bar tall kneeling overhead press,shoulders,"anterior deltoids, triceps brachii",beginner,2,10-12
upper body,"trap bar, bench (flat)",trap bar bench press,pectorals,"pectoralis major, triceps brachii, anterior deltoids",beginner,3,12-15
upper body,dumbbell,alternating double dumbbell z press,shoulders,"anterior deltoids, triceps brachii, rectus abdominis",beginner,3,12-15
upper body,dumbbell,single arm dumbbell half kneeling ipsilateral overhead press,shoulders,"anterior deltoids, triceps brachii, rectus abdominis",beginner,2,10-12
upper body,dumbbell,double dumbbell half kneeling overhead press,shoulders,"anterior deltoids, triceps brachii, rectus abdominis",beginner,3,10-12
upper body,dumbbell,double dumbbell tall kneeling overhead press,shoulders,"anterior deltoids, triceps brachii, rectus abdominis",beginner,3,10-12
upper body,dumbbell,alternating double dumbbell tall kneeling overhead press,shoulders,"anterior deltoids, triceps brachii, rectus abdominis",beginner,3,12-15
upper body,dumbbell,alternating double dumbbell half kneeling overhead press,shoulders,"anterior deltoids, triceps brachii, rectus abdominis",beginner,3,12-15
upper body,dumbbell,single arm dumbbell tall kneeling overhead press,shoulders,"anterior deltoids, triceps brachii, rectus abdominis",beginner,2,10-12
upper body,"weight plate, bench (incline)",double plate incline bench prone y raise,shoulders,posterior deltoids,beginner,2,12-15
upper body,kettlebell,single arm kettlebell pendlay row,back,"latissimus dorsi, biceps brachii",beginner,3,12-15
upper body,barbell,barbell floor press,pectorals,"pectoralis major, triceps brachii, anterior deltoids",beginner,3,10-12
core,gymnastic rings,ring plank,abdominals,rectus abdominis,beginner,3,10-12
core,gymnastic rings,single arm ring plank,abdominals,rectus abdominis,intermediate,3,12-15
upper body,battle ropes,battle rope alternating outward circle,shoulders,"anterior deltoids, biceps brachii",beginner,2,10-12
upper body,battle ropes,battle rope alternating inward circle,shoulders,"anterior deltoids, biceps brachii",beginner,3,12-15
upper body,gymnastic rings,ring support hold,abdominals,rectus abdominis,advanced,4,10-12
core,gymnastic rings,ring side plank,abdominals,"obliques, rectus abdominis",advanced,4,8-10
upper body,barbell,barbell reverse grip bent over row,back,"latissimus dorsi, rhomboids, posterior deltoids",beginner,3,12-15
upper body,macebell,macebell offset bent over row,back,"latissimus dorsi, rhomboids, posterior deltoids",beginner,2,12-15
upper body,macebell,macebell reverse grip offset bent over row,back,"latissimus dorsi, rhomboids, posterior deltoids",beginner,2,12-15
upper body,kettlebell,alternating single arm kettlebell pendlay row,back,"latissimus dorsi, biceps brachii",beginner,2,12-15
core,bodyweight,bodyweight hollow body rock ,abdominals,rectus abdominis,intermediate,4,15-18
full body,dumbbell,single arm dumbbell power snatch,glutes,"gluteus maximus, anterior deltoids ",intermediate,3,15-18
full body,dumbbell,alternating single arm dumbbell power snatch,glutes,"gluteus maximus, anterior deltoids ",intermediate,4,15-18
full body,dumbbell,single arm dumbbell squat snatch,quadriceps,"quadriceps femoris, quadriceps femoris",intermediate,4,12-15
full body,dumbbell,alternating single arm dumbbell squat snatch,quadriceps,"quadriceps femoris, quadriceps femoris",intermediate,4,15-18
lower body,cable,single arm cable single leg romanian deadlift,hamstrings,"biceps femoris, gluteus maximus, obliques",intermediate,4,15-18
lower body,"kettlebell, slant board",double kettlebell suitcase cyclist squat,quadriceps,"quadriceps femoris, gluteus maximus, soleus",beginner,2,10-12
lower body,"kettlebell, slant board",single arm kettlebell suitcase cyclist squat,quadriceps,"quadriceps femoris, gluteus maximus, soleus",beginner,2,12-15
lower body,"kettlebell, plyo box",double kettlebell front rack step up,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",beginner,3,10-12
upper body,"kettlebell, bench (incline)",double kettlebell incline bench prone row,back,latissimus dorsi,beginner,3,12-15
upper body,"dumbbell, bench (incline)",single arm dumbbell incline bench prone row,back,latissimus dorsi,beginner,2,12-15
upper body,"dumbbell, bench (incline)",single arm dumbbell spider curl,biceps,"biceps brachii, brachialis, brachioradialis",beginner,3,12-15
upper body,"kettlebell, bench (incline)",double kettlebell spider curl,biceps,"biceps brachii, brachialis, brachioradialis",beginner,2,12-15
upper body,"kettlebell, bench (incline)",double kettlebell bottoms up incline bench press,pectorals,"pectoralis major, triceps brachii",beginner,2,10-12
lower body,"dumbbell, bench (flat)",double dumbbell seated good morning,back,"erector spinae, gluteus maximus, biceps femoris",beginner,3,12-15
lower body,"bodyweight, bench (flat)",bodyweight hip thrust,glutes,"gluteus maximus, biceps femoris, quadriceps femoris",beginner,2,10-12
lower body,"kettlebell, plyo box",double kettlebell front rack box pistol squat,quadriceps,"quadriceps femoris, gluteus maximus",intermediate,4,15-18
upper body,"kettlebell, bench (incline)",alternating double kettlebell bottoms up incline bench press,pectorals,"pectoralis major, triceps brachii",beginner,2,12-15
upper body,"kettlebell, bench (incline)",single arm kettlebell bottoms up incline bench press,pectorals,"pectoralis major, triceps brachii",beginner,3,12-15
upper body,"kettlebell, bench (incline)",alternating double kettlebell incline bench prone row,back,latissimus dorsi,beginner,2,10-12
upper body,"kettlebell, bench (incline)",single arm kettlebell incline bench prone row,back,latissimus dorsi,beginner,3,10-12
core,gymnastic rings,ring side plank reach through,abdominals,"obliques, rectus abdominis",advanced,4,10-12
lower body,"dumbbell, bench (flat)",single arm dumbbell overhead contralateral bulgarian split squat,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",advanced,4,10-12
lower body,dumbbell,single arm dumbbell overhead contralateral knee over toe split squat,quadriceps,"quadriceps femoris, gluteus maximus, soleus",intermediate,4,15-18
lower body,"kettlebell, plyo box",double kettlebell suitcase step up,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",beginner,2,12-15
lower body,"kettlebell, plyo box",single arm kettlebell suitcase contralateral step up,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",beginner,2,10-12
lower body,"kettlebell, plyo box",single arm kettlebell suitcase ipsilateral step up,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",beginner,2,10-12
lower body,"kettlebell, plyo box",single arm kettlebell front rack contralateral step up,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",beginner,3,10-12
lower body,"kettlebell, plyo box",single arm kettlebell front rack ipsilateral step up,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",beginner,3,12-15
lower body,"kettlebell, plyo box",double kettlebell overhead step up,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",intermediate,3,12-15
lower body,"kettlebell, plyo box",single arm kettlebell overhead contralateral step up,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",intermediate,3,15-18
lower body,"kettlebell, plyo box",single arm kettlebell overhead ipsilateral step up,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",intermediate,4,12-15
lower body,"kettlebell, plyo box",double kettlebell bottoms up front rack step up,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",intermediate,3,12-15
lower body,"kettlebell, plyo box",single arm kettlebell bottoms up front rack contralateral step up,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",intermediate,4,15-18
lower body,"kettlebell, plyo box",single arm kettlebell bottoms up front rack ipsilateral step up,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",intermediate,4,12-15
lower body,"kettlebell, plyo box",double kettlebell bottoms up overhead step up,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",advanced,4,10-12
lower body,"kettlebell, plyo box",single arm kettlebell bottoms up overhead contralateral step up,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",advanced,5,10-12
lower body,"kettlebell, plyo box",single arm kettlebell bottoms up overhead ipsilateral step up,quadriceps,"quadriceps femoris, gluteus maximus, biceps femoris",advanced,4,8-10
core,kettlebell,kettlebell half kneeling low to high chop,abdominals,"obliques, rectus abdominis",intermediate,4,12-15
core,kettlebell,single arm kettlebell windmill,abdominals,"obliques, rectus abdominis, anterior deltoids",intermediate,3,12-15
core,kettlebell,kettlebell russian twist,abdominals,"obliques, rectus abdominis, iliopsoas",beginner,3,12-15
core,kettlebell,alternating single arm kettlebell plank pull through,abdominals,"rectus abdominis, obliques",intermediate,4,12-15
core,kettlebell,single arm kettlebell single leg standing bent knee around the world ,abdominals,rectus abdominis,intermediate,3,15-18
full body,kettlebell,single arm kettlebell swing,glutes,"gluteus maximus, biceps femoris",beginner,3,12-15
lower body,kettlebell,double kettlebell suitcase feet elevated calf raise,calves,"gastrocnemius, soleus, tibialis anterior",beginner,3,12-15
